entry_id,enabled,submit_via,submit_script,sbatch_args,python_module,dataset,split,seed,sampler,teacher_model,teacher_variant,student_family,student_arch,student_target_params,distill_loss,distill_method,run_artifact_id,run_mode,run_exp_name,distillation_temperature,distillation_alpha,distillation_teacher_fp16,distillation_teacher_batch_size,student_init_strategy,student_hidden_size,tokenizer_chunk_length,data_input_path,data_prepared_dir,data_prepared_split,data_eval_prepared_dir,data_eval_prepared_split,train_num_epochs,train_batch_size,train_grad_accum,train_learning_rate,train_logging_steps,train_save_strategy,train_save_steps,train_save_total_limit,train_bf16,train_fp16,distillation_max_train_samples,distillation_max_eval_samples,extra_overrides,notes
vt2d_enwik9_ce_llama32h128_s42,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=240 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,42,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,cross_entropy,student_ft_ce,vt2d-enwik9-ce-llama32h128-s42,new,vt2d-enwik9-ce-llama32h128-s42,,,,,random,128,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,eval,1,4,1,5e-5,10,steps,200,2,true,false,10000,1000,,Executable CE baseline on VT2 enwiki9 protocol split (seed 43 eval).
vt2d_enwik9_kld_llama32h128_s43,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=240 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-enwik9-kld-llama32h128-s43,new,vt2d-enwik9-kld-llama32h128-s43,2.0,0.9,true,2,random,128,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,eval,1,4,1,5e-5,10,steps,200,2,true,false,10000,1000,,Executable KLD baseline on VT2 enwiki9 protocol split (seed 43 eval).
vt2d_tb_oos_kld_llama32h128_s44,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=360 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --nodelist=trinity --gres=gpu:1 --cpus-per-task=8,,thunderbird,train,44,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-tb-oos-kld-llama32h128-s44,new,vt2d-tb-oos-kld-llama32h128-s44,2.0,0.9,true,2,random,128,256,thunderbird,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,train,/cluster/projects/LMIC/vt2/distillation/prepared/thunderbird/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_s42_i43_o44,eval_out,1,4,1,5e-5,10,steps,200,2,true,false,12000,1000,,Disabled OOS thunderbird KLD row for later activation.
vt2d_enwik9_ce_llama32h128_s42_e10,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=1440 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,42,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,cross_entropy,student_ft_ce,vt2d-enwik9-ce-llama32h128-s42-e10,new,vt2d-enwik9-ce-llama32h128-s42-e10,,,,,random,128,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,eval,10,4,1,5e-5,10,epoch,,,true,false,10000,1000,,VT2 Enwiki9 CE follow-up: 10 epochs with per-epoch checkpoints.
vt2d_enwik9_ce_llama32h128_s43_e10,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=1440 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,cross_entropy,student_ft_ce,vt2d-enwik9-ce-llama32h128-s43-e10,new,vt2d-enwik9-ce-llama32h128-s43-e10,,,,,random,128,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,eval,10,4,1,5e-5,10,epoch,,,true,false,10000,1000,,VT2 Enwiki9 CE follow-up: 10 epochs with per-epoch checkpoints (seed-matched to KLD s43).
vt2d_enwik9_kld_llama32h128_s43_e10,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=1440 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h128_random,12000000,kld,teacher_student_kld,vt2d-enwik9-kld-llama32h128-s43-e10,new,vt2d-enwik9-kld-llama32h128-s43-e10,2.0,0.9,true,2,random,128,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,eval,10,4,1,5e-5,10,epoch,,,true,false,10000,1000,,VT2 Enwiki9 KLD follow-up: 10 epochs with per-epoch checkpoints.
vt2d_enwik9_kld_llama32h192_s43_e10,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=1440 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h192_random,27000000,kld,teacher_student_kld,vt2d-enwik9-kld-llama32h192-s43-e10,new,vt2d-enwik9-kld-llama32h192-s43-e10,2.0,0.9,true,2,random,192,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,eval,10,4,1,5e-5,10,epoch,,,true,false,10000,1000,,VT2 Enwiki9 KLD follow-up: 10 epochs with per-epoch checkpoints for shortlisted Llama h192.
vt2d_enwik9_kld_llama32h256_s43_e10,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=1440 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,meta-llama/Llama-3.2-1B,llama-3.2-1b-pt,llama,llama_h256_random,48000000,kld,teacher_student_kld,vt2d-enwik9-kld-llama32h256-s43-e10,new,vt2d-enwik9-kld-llama32h256-s43-e10,2.0,0.9,true,2,random,256,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/meta-llama-Llama-3.2-1B-v128000/c256/protocol_v1_evalseed43,eval,10,4,1,5e-5,10,epoch,,,true,false,10000,1000,,VT2 Enwiki9 KLD follow-up: 10 epochs with per-epoch checkpoints for shortlisted Llama h256.
vt2d_enwik9_kld_gemma31h128_s43_e10,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=1440 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h128_random,12000000,kld,teacher_student_kld,vt2d-enwik9-kld-gemma31h128-s43-e10,new,vt2d-enwik9-kld-gemma31h128-s43-e10,2.0,0.9,false,2,random,128,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,eval,10,4,1,5e-5,10,epoch,,,true,false,10000,1000,,VT2 Enwiki9 KLD follow-up: 10 epochs with per-epoch checkpoints for shortlisted Gemma h128.
vt2d_enwik9_kld_gemma31h192_s43_e10,false,sbatch,sbatchs/lmic_distill_hydra.submit,--time=1440 --nodes=1 --ntasks=1 --mem=64G --partition=gpu_top --gres=gpu:1 --cpus-per-task=8,,enwiki9,train,43,distributed,google/gemma-3-1b-pt,gemma-3-1b-pt,gemma,gemma_h192_random,27000000,kld,teacher_student_kld,vt2d-enwik9-kld-gemma31h192-s43-e10,new,vt2d-enwik9-kld-gemma31h192-s43-e10,2.0,0.9,false,2,random,192,256,enwiki9,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,train,/cluster/projects/LMIC/vt2/distillation/prepared/enwiki9/google-gemma-3-1b-pt-v262144/c256/protocol_v1_evalseed43,eval,10,4,1,5e-5,10,epoch,,,true,false,10000,1000,,VT2 Enwiki9 KLD follow-up: 10 epochs with per-epoch checkpoints for shortlisted Gemma h192.
